CITY,COUNTRY,Deaths per City,Comments
Tokyo, Japan,445,
Delhi, India,6312,
Shanghai, China,7,
São Paulo, Brazil,38885,
Mexico City, Mexico,11416,
Cairo, Egypt,6222,Total Egypt
Mumbai, India,10009,
Dhaka, Bangladesh,5858,Total Bangladesh
New York, United States,23978,
Karachi, Pakistan,149,
Buenos Aires, Argentina,6458,
Istanbul, Turkey,9950,Total
Manila, Philippines,3292,
Lagos, Nigeria,207,
Moscow, Russia,6121,
Lima, Peru,15357,
Bangkok, Thailand,59,
Seoul, South Korea,57,
London, United Kingdom,6885,
Madrid,Europe,10247,